class_label,grid_id,center_latitude,center_longitude,latitude_range,longitude_range
0,Grid_0_0,-89.296875,-178.59375,"(-90.0, -88.59375)","(-180.0, -177.1875)"
1,Grid_0_1,-89.296875,-175.78125,"(-90.0, -88.59375)","(-177.1875, -174.375)"
2,Grid_0_2,-89.296875,-172.96875,"(-90.0, -88.59375)","(-174.375, -171.5625)"
3,Grid_0_3,-89.296875,-170.15625,"(-90.0, -88.59375)","(-171.5625, -168.75)"
4,Grid_0_4,-89.296875,-167.34375,"(-90.0, -88.59375)","(-168.75, -165.9375)"
5,Grid_0_5,-89.296875,-164.53125,"(-90.0, -88.59375)","(-165.9375, -163.125)"
6,Grid_0_6,-89.296875,-161.71875,"(-90.0, -88.59375)","(-163.125, -160.3125)"
7,Grid_0_7,-89.296875,-158.90625,"(-90.0, -88.59375)","(-160.3125, -157.5)"
8,Grid_0_8,-89.296875,-156.09375,"(-90.0, -88.59375)","(-157.5, -154.6875)"
9,Grid_0_9,-89.296875,-153.28125,"(-90.0, -88.59375)","(-154.6875, -151.875)"
10,Grid_0_10,-89.296875,-150.46875,"(-90.0, -88.59375)","(-151.875, -149.0625)"
11,Grid_0_11,-89.296875,-147.65625,"(-90.0, -88.59375)","(-149.0625, -146.25)"
12,Grid_0_12,-89.296875,-144.84375,"(-90.0, -88.59375)","(-146.25, -143.4375)"
13,Grid_0_13,-89.296875,-142.03125,"(-90.0, -88.59375)","(-143.4375, -140.625)"
14,Grid_0_14,-89.296875,-139.21875,"(-90.0, -88.59375)","(-140.625, -137.8125)"
15,Grid_0_15,-89.296875,-136.40625,"(-90.0, -88.59375)","(-137.8125, -135.0)"
16,Grid_0_16,-89.296875,-133.59375,"(-90.0, -88.59375)","(-135.0, -132.1875)"
17,Grid_0_17,-89.296875,-130.78125,"(-90.0, -88.59375)","(-132.1875, -129.375)"
18,Grid_0_18,-89.296875,-127.96875,"(-90.0, -88.59375)","(-129.375, -126.5625)"
19,Grid_0_19,-89.296875,-125.15625,"(-90.0, -88.59375)","(-126.5625, -123.75)"
20,Grid_0_20,-89.296875,-122.34375,"(-90.0, -88.59375)","(-123.75, -120.9375)"
21,Grid_0_21,-89.296875,-119.53125,"(-90.0, -88.59375)","(-120.9375, -118.125)"
22,Grid_0_22,-89.296875,-116.71875,"(-90.0, -88.59375)","(-118.125, -115.3125)"
23,Grid_0_23,-89.296875,-113.90625,"(-90.0, -88.59375)","(-115.3125, -112.5)"
24,Grid_0_24,-89.296875,-111.09375,"(-90.0, -88.59375)","(-112.5, -109.6875)"
25,Grid_0_25,-89.296875,-108.28125,"(-90.0, -88.59375)","(-109.6875, -106.875)"
26,Grid_0_26,-89.296875,-105.46875,"(-90.0, -88.59375)","(-106.875, -104.0625)"
27,Grid_0_27,-89.296875,-102.65625,"(-90.0, -88.59375)","(-104.0625, -101.25)"
28,Grid_0_28,-89.296875,-99.84375,"(-90.0, -88.59375)","(-101.25, -98.4375)"
29,Grid_0_29,-89.296875,-97.03125,"(-90.0, -88.59375)","(-98.4375, -95.625)"
30,Grid_0_30,-89.296875,-94.21875,"(-90.0, -88.59375)","(-95.625, -92.8125)"
31,Grid_0_31,-89.296875,-91.40625,"(-90.0, -88.59375)","(-92.8125, -90.0)"
